"","hgnc_symbol","uniprot_gn_id"
"364","CDK7","D6RF14"
"365","CDK7","D6R9G1"
"366","CDK7","A0A0S2Z3F9"
"367","CGREF1","Q99674"
"368","CGREF1","F8WE80"
"369","IGLV2-33","A0A075B6J2"
"370","DLGAP4-AS1",""
"371","OR7E117P",""
"372","FSCN1P1",""
"373","DUOXA2","Q1HG44"
"374","NMRAL1","Q9HBL8"
"375","NMRAL1","I3L3Z0"
"376","NMRAL1","I3L2U0"
"377","NMRAL1","I3L1Y8"
"378","NMRAL1","I3L1Q7"
"379","NMRAL1","A0A384P622"
"380","NMRAL1","I3L0Y6"
"381","NMRAL1","I3L543"
"382","OR2H1","Q9GZK4"
"383","OR2H1","A0A024RCM6"
"384","MYL9","P24844"
"385","TRPC2",""
"386","IGLV3-32","A0A0A0MS00"
"387","IGLV3-31",""
"388","IGLV3-30",""
"389","KHK","P50053"
"390","KHK","C9JDL1"
"391","MRPS16P3",""
"392","DUOX2","Q9NRD8"
"393","DUOX2","X6RAN8"
"394","RPAP1","Q9BWH6"
"395","RPAP1","H3BRE8"
"396","RPAP1","H3BPM3"
"397","RPAP1","H3BPY8"
"398","RPAP1","H3BTJ6"
"399","DLGAP4","Q9Y2H0"
"400","DLGAP4","A0A0B4J2C2"
"401","DLGAP4","F8WF49"
"402","DLGAP4","A0A087X246"
"403","DLGAP4","A0A087WWE6"
"404","IGHV1OR15-9","A0A0B4J2B8"
"405","SERPINA10","G3V2W1"
"406","SERPINA10","Q9UK55"
"407","SERPINA10","A0A024R6I6"
"408","SLC20A1P3",""
"409","MBOAT7","A9C4B8"
"410","MBOAT7","A0A0G2JNX6"
"411","IFT88","Q13099"
"412","IFT88","F6SRW8"
"413","SIGIRR","Q6IA17"
"414","SIGIRR","E9PLG6"
"415","SIGIRR","C9JFX4"
"416","SIGIRR","E9PK23"
"417","SIGIRR","H0YDR5"
"418","SIGIRR","E9PSD9"
"419","DUOX1","Q9NRD9"
"420","DUOX1","H0YK19"
"421","DUOX1","H0YNR5"
"422","HMOX2","P30519"
"423","HMOX2","I3L463"
"424","HMOX2","I3L4P8"
"425","HMOX2","I3L159"
"426","HMOX2","A0A087WT44"
"427","HMOX2","I3L1F5"
"428","HMOX2","I3L276"
"429","HMOX2","A0A1B0GXH0"
"430","UBDP1",""
"431","MAS1LP1",""
"432","IGHV1OR15-2",""
"433","MAS1L","P35410"
"434","MAS1L","W8W3J1"
"435","FKBP6","O75344"
